,val_loss
1360,"109.9472, "
1361,"111.2734, "
1362,"114.5246, "
1363,"104.8283, "
1364,"121.4665, "
1365,"108.8528, "
1366,"87.0203, "
1367,"116.1841, "
1368,"113.0775, "
1369,"86.7575, "
1370,"98.4267, "
1371,"114.0841, "
1372,"108.2645, "
1373,"105.0685, "
1374,"116.4339, "
1375,"94.4921, "
1376,"111.8521, "
1377,"94.2446, "
1378,"123.3592, "
1379,"102.2004, "
1380,"121.9763, "
1381,"97.2383, "
1382,"100.6888, "
1383,"108.7788, "
1384,"104.3906, "
1385,"127.7949, "
1386,"129.0971, "
1387,"129.1957, "
1388,"114.6327, "
1389,"96.6168, "
1390,"102.6428, "
1391,"107.4177, "
1392,"122.5281, "
1393,"116.9673, "
1394,"114.0123, "
1395,"99.6112, "
1396,"111.5612, "
1397,"113.2124, "
1398,"118.9320, "
1399,"104.0796, "
1400,"113.5344, "
1401,"127.8504, "
1402,"107.4142, "
1403,"83.1402, "
1404,"92.7110, "
1405,"96.5195, "
1406,"84.8772, "
1407,"113.3790, "
1408,"128.1582, "
1409,"103.4961, "
1410,"113.3911, "
1411,"116.4353, "
1412,"120.0129, "
1413,"103.9396, "
1414,"116.4175, "
1415,"113.2558, "
1416,"114.0606, "
1417,"117.4877, "
1418,"89.4528, "
1419,"119.9720, "
1420,"97.6765, "
1421,"120.9766, "
1422,"107.3065, "
1423,"97.2642, "
1424,"129.2309, "
1425,"103.7872, "
1426,"104.7811, "
1427,"111.8720, "
1428,"94.8716, "
1429,"113.1544, "
1430,"99.6813, "
1431,"125.8337, "
1432,"117.7726, "
1433,"112.4902, "
1434,"101.5493, "
1435,"97.6768, "
1436,"121.5616, "
1437,"107.5671, "
1438,"101.6353, "
1439,"125.1324, "
1440,"118.8499, "
1441,"113.4506, "
1442,"95.9568, "
1443,"83.2130, "
1444,"105.8124, "
1445,"97.4166, "
1446,"104.7776, "
1447,"130.9068, "
1448,"108.6168, "
1449,"100.0797, "
1450,"125.8630, "
1451,"120.4881, "
1452,"109.1962, "
1453,"115.4802, "
1454,"102.0393, "
1455,"116.0822, "
1456,"87.0112, "
1457,"121.6919, "
1458,"84.2728, "
1459,"111.9599, "
1460,"118.6717, "
1461,"121.3714, "
1462,"128.6132, "
1463,"121.3268, "
1464,"111.6837, "
1465,"119.3359, "
1466,"108.0250, "
1467,"102.6508, "
1468,"114.4299, "
1469,"101.3523, "
1470,"107.3556, "
1471,"109.3419, "
1472,"89.7216, "
1473,"108.6262, "
1474,"109.3599, "
1475,"108.5867, "
1476,"100.9490, "
1477,"131.4132, "
1478,"116.2157, "
1479,"108.7832, "
1480,"105.2357, "
1481,"97.3581, "
1482,"100.5231, "
1483,"116.0503, "
1484,"106.8983, "
1485,"103.0151, "
1486,"86.1957, "
1487,"101.2723, "
1488,"109.8019, "
1489,"118.3660, "
1490,"93.5327, "
1491,"117.1418, "
1492,"96.1001, "
1493,"87.4364, "
1494,"105.1279, "
1495,"106.3782, "
1496,"123.1734, "
1497,"112.9214, "
1498,"132.2203, "
1499,"105.8935, "
1500,"120.1254, "
1501,"107.1425, "
1502,"110.2409, "
1503,"108.3841, "
1504,"105.9826, "
1505,"112.4716, "
1506,"118.0816, "
1507,"99.2714, "
1508,"83.2401, "
1509,"119.4704, "
1510,"108.6420, "
1511,"96.6678, "
1512,"113.4935, "
1513,"108.1339, "
1514,"116.0158, "
1515,"94.7534, "
1516,"124.8716, "
1517,"117.0820, "
1518,"119.4860, "
1519,"99.8750, "
1520,"101.8997, "
1521,"108.8599, "
1522,"103.6824, "
1523,"102.9009, "
1524,"108.3264, "
1525,"125.3790, "
1526,"98.8175, "
1527,"101.9623, "
1528,"107.6717, "
1529,"122.7510, "
1530,"113.5816, "
1531,"104.3616, "
1532,"109.3806, "
1533,"117.3752, "
1534,"103.9320, "
1535,"100.4523, "
1536,"98.8649, "
1537,"97.0181, "
1538,"94.5212, "
1539,"107.2733, "
1540,"107.4684, "
1541,"110.4409, "
1542,"114.8279, "
1543,"115.9218, "
1544,"115.4660, "
1545,"115.5429, "
1546,"104.4118, "
1547,"119.9135, "
1548,"106.8487, "
1549,"103.8326, "
1550,"111.6793, "
1551,"97.4154, "
1552,"109.2131, "
1553,"95.4269, "
1554,"113.5658, "
1555,"126.0354, "
1556,"119.0264, "
1557,"93.5054, "
1558,"99.5691, "
1559,"122.1321, "
1560,"110.6043, "
1561,"107.0340, "
