,val_loss
319,"117.7001, "
320,"118.5833, "
321,"120.6511, "
322,"102.4273, "
323,"100.4362, "
324,"105.7507, "
325,"98.5425, "
326,"98.8815, "
327,"110.3936, "
328,"116.5394, "
329,"118.7616, "
330,"110.7290, "
331,"118.5942, "
332,"89.0120, "
333,"107.8395, "
334,"101.8583, "
335,"110.2947, "
336,"107.1484, "
337,"111.2845, "
338,"135.7957, "
339,"110.1791, "
340,"89.9411, "
341,"100.0817, "
342,"117.7472, "
343,"96.9422, "
344,"123.1419, "
345,"109.0009, "
346,"108.5285, "
347,"113.1211, "
348,"91.3101, "
349,"95.5655, "
350,"99.0711, "
351,"93.3734, "
352,"101.4817, "
353,"121.4905, "
354,"94.6070, "
355,"111.8300, "
356,"112.4867, "
357,"104.1932, "
358,"96.5892, "
359,"107.5291, "
360,"94.9150, "
361,"100.7809, "
362,"115.7481, "
363,"115.1401, "
364,"109.1865, "
365,"107.4710, "
366,"106.9132, "
367,"125.6057, "
368,"92.8113, "
369,"98.4256, "
370,"105.3290, "
371,"106.2167, "
372,"137.2891, "
373,"109.0327, "
374,"115.9357, "
375,"113.7121, "
376,"109.5099, "
377,"119.6710, "
378,"96.0159, "
379,"112.4291, "
380,"114.7046, "
381,"113.2654, "
382,"93.6334, "
383,"108.7340, "
384,"99.3593, "
385,"88.4263, "
386,"113.2291, "
387,"111.6787, "
388,"107.7924, "
389,"126.4456, "
390,"92.5231, "
391,"109.1757, "
392,"117.5339, "
393,"86.1719, "
394,"121.3359, "
395,"87.3328, "
396,"104.7332, "
397,"112.6947, "
398,"104.2630, "
399,"107.3101, "
400,"114.5195, "
401,"112.4311, "
402,"109.7015, "
403,"91.5966, "
404,"111.4340, "
405,"118.9062, "
406,"118.0166, "
407,"121.8796, "
408,"101.2293, "
409,"112.9885, "
410,"124.7035, "
411,"107.3829, "
412,"125.9083, "
413,"107.3031, "
414,"116.9797, "
415,"109.5686, "
416,"100.9855, "
417,"108.9220, "
418,"116.4864, "
419,"114.0764, "
420,"114.0321, "
421,"118.3023, "
422,"101.2874, "
423,"104.9460, "
424,"109.7963, "
425,"129.4088, "
426,"99.0804, "
427,"95.4062, "
428,"118.6582, "
429,"105.9751, "
430,"120.2106, "
431,"104.0616, "
432,"108.6103, "
433,"93.8247, "
434,"96.9539, "
435,"121.2229, "
436,"91.7109, "
437,"105.9618, "
438,"126.7686, "
439,"124.7225, "
440,"84.0005, "
441,"96.8068, "
442,"116.5212, "
443,"124.3454, "
444,"105.0743, "
445,"112.5772, "
446,"109.7431, "
447,"109.7894, "
448,"108.3507, "
449,"118.9962, "
450,"88.9848, "
451,"107.3517, "
452,"100.8884, "
453,"115.9081, "
454,"126.8430, "
455,"129.2524, "
456,"120.9583, "
457,"127.1795, "
458,"115.2339, "
459,"113.1987, "
460,"120.0992, "
461,"96.4214, "
462,"115.0006, "
463,"112.6681, "
464,"94.1910, "
465,"101.9240, "
466,"96.5631, "
467,"118.6651, "
468,"92.3737, "
469,"104.3291, "
470,"96.5185, "
471,"109.1646, "
472,"105.0158, "
473,"94.5602, "
474,"102.9581, "
475,"101.0782, "
476,"108.9484, "
477,"114.2065, "
478,"111.2535, "
479,"91.0399, "
480,"100.6155, "
481,"109.2899, "
482,"104.7140, "
483,"121.0411, "
484,"104.3332, "
485,"84.9399, "
486,"104.6996, "
487,"114.1632, "
488,"106.9781, "
489,"104.6143, "
490,"117.2038, "
491,"93.2318, "
492,"102.5664, "
493,"113.0258, "
494,"112.2104, "
495,"102.0258, "
496,"111.0261, "
497,"98.4280, "
498,"122.0864, "
499,"123.4360, "
500,"92.3205, "
501,"113.5594, "
502,"108.9518, "
503,"108.6313, "
504,"112.5462, "
505,"116.5464, "
506,"96.7856, "
507,"104.0201, "
508,"117.9944, "
509,"100.5293, "
510,"117.3212, "
511,"109.1529, "
512,"112.0121, "
513,"93.1396, "
514,"105.4035, "
515,"105.4706, "
516,"103.9908, "
517,"111.4239, "
518,"114.1721, "
519,"129.6448, "
520,"113.2665, "
521,"94.8924, "
522,"137.6076, "
523,"124.8195, "
